time,outlet.m_flow,outlet.T,outlet.p
0,2.2300000000000000E+00,2.4000000000000000E+01,2.9998891043300001E+05
1,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
2,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
3,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
4,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
5,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
6,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
7,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
8,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
9,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
10,2.2300000000000000E+00,2.4000000000000000E+01,9.9988910432999997E+04
